OBS,SP500_OPEN,FTSE_OPEN,R_SP500_OPEN,R_FTSE_OPEN
5/27/1992,411.41,2696.6,-0.632399767,-0.937518401
5/28/1992,412.17,2697.5,0.184560144,0.033369793
5/29/1992,416.74,2703.8,1.102664054,0.23327728
06/01/1992,415.35,2697.7,-0.334098786,-0.225863282
06/02/1992,417.3,2710.5,0.468384931,0.473356159
06/03/1992,413.5,2695,-0.914787313,-0.573491536
06/04/1992,414.6,2683.6,0.265668554,-0.423902765
06/05/1992,413.26,2679.6,-0.323726517,-0.149164705
06/08/1992,413.48,2661.2,0.053221086,-0.689038077
06/09/1992,413.4,2649.8,-0.019349845,-0.429298343
6/10/1992,410.06,2627.1,-0.811215679,-0.860358924
6/11/1992,407.25,2627.1,-0.687624297,0
6/12/1992,409.08,2621.6,0.448348846,-0.209575781
6/15/1992,409.76,2588.9,0.166088651,-1.255174333
6/16/1992,410.29,2600.3,0.129260429,0.439374791
6/17/1992,408.33,2603.5,-0.478855573,0.122987063
6/18/1992,402.26,2570.5,-1.497702529,-1.275626111
6/19/1992,400.96,2574.8,-0.323697402,0.167142868
6/22/1992,403.64,2573,0.666171989,-0.06993279
6/23/1992,403.4,2562,-0.059476608,-0.428432983
6/24/1992,404.05,2558.8,0.161000716,-0.124980488
6/25/1992,403.83,2545.8,-0.054463536,-0.509345614
6/26/1992,403.12,2526.1,-0.175971295,-0.776833103
6/29/1992,403.47,2532,0.086785113,0.233289286
6/30/1992,408.94,2515.8,1.346631051,-0.641865986
07/01/1992,408.2,2525.6,-0.181119564,0.388781384
07/02/1992,412.88,2504,1.139974346,-0.858920502
07/03/1992,,2467.5,,-1.468396091
07/06/1992,411.77,2494.9,,1.104315591
07/07/1992,413.83,2478.5,0.499032043,-0.659510976
07/08/1992,409.15,2476.9,-1.13734245,-0.06457602
07/09/1992,410.28,2479.2,0.275801647,0.092814922
7/10/1992,414.23,2504.1,0.958152168,0.999346105
7/13/1992,414.62,2483.3,0.094106299,-0.834106773
7/14/1992,414.86,2472.2,0.057867581,-0.447987834
7/15/1992,417.68,2499.3,0.677447518,1.09022502
7/16/1992,417.04,2483.8,-0.153344864,-0.622104714
7/17/1992,417.54,2483.4,0.119820762,-0.016105653
7/20/1992,415.62,2409.1,-0.460896682,-3.037535523
7/21/1992,413.75,2426.2,-0.450945457,0.707301358
7/22/1992,413.74,2407.5,-0.002416948,-0.773738266
7/23/1992,410.93,2389,-0.681487353,-0.771399635
7/24/1992,412.07,2398.8,0.277035414,0.409374397
7/27/1992,411.6,2375.4,-0.114123387,-0.980276795
7/28/1992,411.55,2352,-0.012148454,-0.989981432
7/29/1992,417.52,2397.3,1.440192792,1.907707403
7/30/1992,422.2,2438.2,1.114668808,1.691695808
7/31/1992,423.92,2411.6,0.406562277,-1.096963452
08/03/1992,424.19,2390.8,0.063670988,-0.866238967
08/04/1992,425.09,2427.9,0.211944314,1.539864822
08/05/1992,424.35,2401.1,-0.17423248,-1.10997205
08/06/1992,422.19,2388.6,-0.510313674,-0.521954543
08/07/1992,420.59,2368.3,-0.379696225,-0.853502207
8/10/1992,418.87,2331,-0.409787818,-1.587503813
8/11/1992,419.45,2330.9,0.138372004,-0.004290096
8/12/1992,418.89,2316,-0.133597367,-0.641289938
8/13/1992,417.78,2302.8,-0.265337744,-0.571578589
8/14/1992,417.74,2314.5,-0.009574876,0.506790767
8/17/1992,419.89,2362.1,0.513354279,2.035737239
8/18/1992,420.74,2371.7,0.202229349,0.405594371
8/19/1992,421.34,2352.4,0.142504299,-0.817091399
8/20/1992,418.19,2357.5,-0.750423399,0.216565192
8/21/1992,418.27,2362.8,0.019128231,0.224562093
8/24/1992,414.8,2320.7,-0.833068066,-1.797849214
8/25/1992,410.73,2302.3,-0.986041204,-0.796024104
8/26/1992,411.65,2290.5,0.223740943,-0.513848892
8/27/1992,413.51,2303.4,0.450822422,0.561615791
8/28/1992,413.54,2313.6,0.0072547,0.441846073
8/31/1992,414.87,,0.321097317,
09/01/1992,414.03,2313,-0.202678318,
09/02/1992,416.07,2291.2,0.491508037,-0.946968547
09/03/1992,417.98,2334.1,0.458006915,1.855068006
09/04/1992,417.98,2380.5,0,1.96841718
09/07/1992,,2358.3,,-0.936952917
09/08/1992,417.08,2378.4,,0.848697222
09/09/1992,414.44,2322.8,-0.634983854,-2.365463819
9/10/1992,416.34,2333.9,0.457402276,0.476733353
9/11/1992,419.95,2357.5,0.863342243,1.006104748
9/14/1992,419.65,2470.4,-0.071462604,4.677834532
9/15/1992,425.22,2416,1.318565152,-2.226680078
9/16/1992,419.71,2341.8,-1.304268545,-3.119341564
9/17/1992,419.92,2485.1,0.050022035,5.939303576
9/18/1992,419.92,2483.4,0,-0.068431119
9/21/1992,422.9,2551.9,0.707152753,2.720959076
9/22/1992,422.14,2545.7,-0.179873191,-0.243251846
9/23/1992,417.14,2579.3,-1.19151157,1.311238299
9/24/1992,417.46,2584.4,0.076683445,0.197532841
9/25/1992,418.47,2656.8,0.241647145,2.762901838
9/28/1992,414.35,2573.5,-0.989417548,-3.185555097
9/29/1992,416.62,2557.7,0.546350806,-0.615842296
9/30/1992,416.79,2557.1,0.040796247,-0.023461328
10/01/1992,417.8,2558.4,0.242035129,0.050825922
10/02/1992,416.29,2569.2,-0.362071635,0.42125033
10/05/1992,410.47,2524.4,-1.407928816,-1.759115567
10/06/1992,407.57,2484.7,-0.709014754,-1.585148281
10/07/1992,407.17,2512.5,-0.098190842,1.112634547
10/08/1992,404.29,2522.9,-0.709834642,0.413076013
10/09/1992,407.75,2549.9,0.852179927,1.06451092
10/12/1992,402.66,2535.6,-1.25617081,-0.562384729
10/13/1992,407.44,2567.2,1.180114918,1.238551539
10/14/1992,409.3,2583.6,0.455470092,0.636796436
10/15/1992,409.34,2552.3,0.009772305,-1.218886174
10/16/1992,409.6,2544.4,0.063496717,-0.310004761
10/19/1992,411.73,2555.3,0.518672099,0.427476777
10/20/1992,414.98,2574.3,0.786253158,0.740801891
10/21/1992,415.53,2636.8,0.132448756,2.398840823
10/22/1992,415.67,2642.8,0.033686237,0.227290044
10/23/1992,414.9,2643.2,-0.185414889,0.015134317
10/26/1992,414.09,2670.4,-0.195418584,1.023796958
10/27/1992,418.18,2672.6,0.982862034,0.082350744
10/28/1992,418.49,2666.3,0.074103294,-0.236003781
10/29/1992,420.15,2650,0.395879559,-0.613210356
10/30/1992,420.86,2649.6,0.168844644,-0.015095479
11/02/1992,418.66,2657.1,-0.524110214,0.282661729
11/03/1992,422.75,2712.7,0.972185311,2.070914637
11/04/1992,419.91,2704.4,-0.674058518,-0.306437263
11/05/1992,417.08,2682.7,-0.676235268,-0.805632617
11/06/1992,418.35,2714.9,0.304035282,1.193137024
11/09/1992,417.58,2702.7,-0.184226004,-0.450384695
11/10/1992,418.59,2696.1,0.241577787,-0.244498899
11/11/1992,418.62,2719,0.007166661,0.84578813
11/12/1992,422.2,2705.7,0.851554824,-0.490350679
11/13/1992,422.89,2717.8,0.163296253,0.446207065
11/16/1992,422.44,2688.7,-0.106467307,-1.076492408
11/17/1992,420.63,2668.7,-0.429383748,-0.746634297
11/18/1992,419.27,2679.6,-0.32384836,0.40760672
11/19/1992,422.86,2710.6,0.85260512,1.150248295
